Round,Tick,Victim,VictimPosition,Attacker,AttackerPosition
6,89885,Snax g2a.com,"""-898.40625,-927.9007568359375,-61.64354705810547""",wenton,"""526.6959838867188,-700.5028686523438,-108.86222839355469"""
7,102179,neo g2a.com,"""-2032.005859375,-32.65393829345703,-166.75515747070312""",wenton,"""-2087.835693359375,-142.47335815429688,-239.9981689453125"""
7,102284,Lekr0,"""-860.4199829101562,-355.15032958984375,225.89691162109375""",byali g2a.com,"""-718.3379516601562,-669.555419921875,-31.96875"""
7,102443,TaZ g2a.com,"""-2544.255126953125,-833.827880859375,69.00364685058594""",dennis,"""-1966.9534912109375,-721.3251342773438,-47.27737045288086"""
7,103326,olofmeister,"""-2495.74365234375,-716.6878662109375,39.86793899536133""",pashaBiceps g2a.com,"""-2081.10595703125,-1449.787353515625,-3.971935272216797"""
7,103660,pashaBiceps g2a.com,"""-2165.539794921875,-1326.5679931640625,60.03125""",wenton,"""-2202.965087890625,-1496.11474609375,-12.833126068115234"""
7,105880,Snax g2a.com,"""-1756.75439453125,-1636.575439453125,160.03125""",wenton,"""-2387.835693359375,-1497.30224609375,-10.233421325683594"""
7,106540,byali g2a.com,"""-2287.7548828125,-1082.8521728515625,68.02274322509766""",wenton,"""-2449.994873046875,-1215.291748046875,4.517522811889648"""
8,117237,neo g2a.com,"""-3383.922119140625,-345.4496765136719,64.03125""",twist,"""-3071.27783203125,-119.28606414794922,-27.96875"""
8,117597,pashaBiceps g2a.com,"""-3156.227783203125,-595.68408203125,88.11785125732422""",twist,"""-3289.70703125,-233.20252990722656,-29.96875"""
8,117744,twist,"""-3293.66748046875,-233.69998168945312,16.03125""",TaZ g2a.com,"""-3140.88427734375,-623.9911499023438,32.03125"""
8,117912,TaZ g2a.com,"""-3139.2939453125,-512.8497924804688,96.03125""",wenton,"""-2591.162109375,-707.9892578125,11.512928009033203"""
8,118279,byali g2a.com,"""-1815.947998046875,-1539.4842529296875,160.03125""",dennis,"""-2214.991943359375,-1470.39892578125,-11.013435363769531"""
8,118951,Snax g2a.com,"""-586.8955688476562,423.83355712890625,64.03125""",Lekr0,"""-1733.98876953125,478.7477722167969,0.03125"""
9,124978,pashaBiceps g2a.com,"""-447.3245849609375,-900.32958984375,-46.99205780029297""",dennis,"""717.080810546875,-503.67694091796875,-62.56691360473633"""
9,125018,dennis,"""712.4762573242188,-490.4280700683594,7.011543273925781""",neo g2a.com,"""104.50666046142578,-1164.3955078125,-121.60914611816406"""
9,125250,neo g2a.com,"""122.7067642211914,-1156.171142578125,-56.46766662597656""",olofmeister,"""676.931640625,-392.1560974121094,-15.610764503479004"""
9,125634,twist,"""122.33663177490234,-860.2886962890625,12.359931945800781""",byali g2a.com,"""-437.8362731933594,-1009.6620483398438,-127.568603515625"""
9,127221,byali g2a.com,"""-987.1049194335938,-466.8939208984375,38.760650634765625""",Lekr0,"""-570.978515625,-702.8517456054688,-31.96875"""
10,140641,neo g2a.com,"""712.8030395507812,-405.06524658203125,42.95379638671875""",olofmeister,"""181.59776306152344,-80.03125,-20.847370147705078"""
10,140809,olofmeister,"""175.45986938476562,-92.9332275390625,42.65301513671875""",pashaBiceps g2a.com,"""563.999755859375,-191.7371826171875,0.03125"""
10,143701,pashaBiceps g2a.com,"""471.0804443359375,-389.80072021484375,17.572837829589844""",Lekr0,"""275.354248046875,-81.72745513916016,-13.022455215454102"""
10,144639,byali g2a.com,"""-104.29725646972656,-821.123046875,-49.88948059082031""",Lekr0,"""443.7705993652344,-562.8397827148438,-98.43131256103516"""
10,144787,Lekr0,"""447.8854675292969,-641.4075927734375,-39.841835021972656""",Snax g2a.com,"""-517.8802490234375,-914.50244140625,-116.46121215820312"""
10,144968,Snax g2a.com,"""-515.8946533203125,-927.8478393554688,-54.06720733642578""",dennis,"""704.7490844726562,-527.4371948242188,-72.58104705810547"""
10,145723,TaZ g2a.com,"""-821.2100830078125,-684.1026611328125,32.03125""",dennis,"""572.504638671875,-255.833740234375,0.03125"""
11,150394,olofmeister,"""9.926295280456543,-41.37272262573242,14.03125""",Snax g2a.com,"""720.8460693359375,-578.7423706054688,-89.61962890625"""
11,153652,twist,"""-780.8553466796875,-64.61458587646484,192.03125""",byali g2a.com,"""-862.7857055664062,-92.45181274414062,128.03125"""
11,154142,byali g2a.com,"""-865.96875,-156.1325225830078,192.03125""",Lekr0,"""-768.1817016601562,-5.471120834350586,128.03125"""
11,159185,wenton,"""192.24349975585938,-471.68292236328125,-11.36669921875""",pashaBiceps g2a.com,"""676.5462036132812,-531.1279907226562,-74.125244140625"""
11,159404,neo g2a.com,"""-448.233642578125,-684.5014038085938,14.03125""",Lekr0,"""-800.2899169921875,-688.329345703125,-31.96875"""
11,159434,dennis,"""443.1865539550781,-34.857479095458984,68.02955627441406""",pashaBiceps g2a.com,"""688.6864624023438,-497.0035095214844,-59.75704574584961"""
11,159855,Lekr0,"""-633.1013793945312,-569.7369384765625,32.03125""",pashaBiceps g2a.com,"""525.0460815429688,-369.6277160644531,33.04621124267578"""
12,165386,wenton,"""-2392.06494140625,427.8783874511719,-175.96875""",TaZ g2a.com,"""-2063.54931640625,-345.3606262207031,-187.57540893554688"""
12,165507,TaZ g2a.com,"""-2070.959228515625,-348.63531494140625,-140.89682006835938""",Lekr0,"""-2406.86279296875,418.20147705078125,-239.96875"""
12,168985,twist,"""-2564.432373046875,-755.085693359375,70.27751159667969""",Snax g2a.com,"""-3170.39501953125,-443.0512390136719,32.03125"""
12,169213,dennis,"""-2121.3701171875,-1105.20947265625,47.47828674316406""",Snax g2a.com,"""-3171.0771484375,-451.8659362792969,32.03125"""
12,169360,Lekr0,"""-1998.2923583984375,-965.6817016601562,64.03125""",neo g2a.com,"""-1951.5177001953125,-1279.6673583984375,0.03125"""
12,170487,byali g2a.com,"""-2496.752685546875,-1011.395263671875,54.75364685058594""",olofmeister,"""-3316.958984375,-350.3145446777344,0.03125"""
12,173400,olofmeister,"""-2382.384765625,616.364501953125,-182.8075408935547""",pashaBiceps g2a.com,"""-1813.6458740234375,681.77490234375,-63.96875"""
13,178855,dennis,"""607.7188110351562,-203.87445068359375,64.03125""",neo g2a.com,"""235.92593383789062,-1077.0416259765625,-91.96875"""
13,179020,pashaBiceps g2a.com,"""825.818603515625,-825.1956787109375,-53.195133209228516""",wenton,"""550.8137817382812,-187.9402618408203,0.03125"""
13,180091,olofmeister,"""311.7572021484375,-495.91131591796875,-28.767967224121094""",neo g2a.com,"""106.28645324707031,-991.4491577148438,-51.64008331298828"""
13,180450,byali g2a.com,"""-523.4354248046875,-562.2788696289062,32.03125""",Lekr0,"""693.827880859375,-306.6379089355469,0.03125"""
13,180633,twist,"""-238.00123596191406,-639.2515869140625,0.03125""",neo g2a.com,"""-127.04059600830078,-725.3531494140625,-109.36256408691406"""
13,181359,wenton,"""496.3472900390625,-374.17181396484375,88.61888122558594""",TaZ g2a.com,"""-655.321044921875,-569.7086791992188,-31.96875"""
13,182167,Lekr0,"""720.65380859375,-1012.7796020507812,-55.293338775634766""",neo g2a.com,"""-1.8124353885650635,-1101.56640625,-125.96395111083984"""
14,187516,olofmeister,"""305.91705322265625,-223.6074981689453,53.52444839477539""",pashaBiceps g2a.com,"""394.6979675292969,-1385.4813232421875,-79.96875"""
14,188607,twist,"""-644.8137817382812,-710.1959838867188,14.03125""",byali g2a.com,"""-472.3797607421875,-511.0162048339844,-31.96875"""
14,188670,wenton,"""-681.2513427734375,-692.1480712890625,14.539531707763672""",byali g2a.com,"""-471.69818115234375,-511.6600036621094,-31.96875"""
14,188744,byali g2a.com,"""-470.0495910644531,-513.8343505859375,32.03125""",dennis,"""-702.5985107421875,-665.8248291015625,-31.96875"""
14,189168,Lekr0,"""-493.6051025390625,-509.1898193359375,14.03125""",neo g2a.com,"""225.10205078125,-1022.239501953125,-51.640098571777344"""
14,189900,TaZ g2a.com,"""-1137.6064453125,-563.922607421875,14.03125""",dennis,"""-452.3793029785156,-678.704833984375,-31.96875"""
14,190730,dennis,"""-809.0738525390625,-689.1173706054688,32.03125""",pashaBiceps g2a.com,"""340.5086975097656,-362.909423828125,-63.96875"""
15,203059,dennis,"""-372.7029113769531,-80.00350189208984,103.9781494140625""",neo g2a.com,"""709.519287109375,-306.5672302246094,0.03125"""
15,203537,byali g2a.com,"""-777.21826171875,-692.4999389648438,32.03125""",Lekr0,"""-866.7261962890625,-302.54327392578125,152.82763671875"""
15,204975,wenton,"""244.65335083007812,-343.2696228027344,0.03125""",neo g2a.com,"""275.2792053222656,-1060.2392578125,-91.96875"""
15,205252,Lekr0,"""-1055.868408203125,-658.6239013671875,24.837059020996094""",Snax g2a.com,"""-1009.885009765625,-1001.7305297851562,-122.08888244628906"""
15,205265,twist,"""335.0540771484375,-966.9508056640625,-38.00163269042969""",neo g2a.com,"""118.0412368774414,-1043.0201416015625,-91.96875"""
15,205700,olofmeister,"""209.46165466308594,-440.126953125,-17.96875""",neo g2a.com,"""357.1858215332031,-1026.1103515625,-91.96875"""
16,215907,olofmeister,"""-605.0592041015625,-904.0094604492188,-57.4415283203125""",byali g2a.com,"""-212.6974334716797,-615.7357788085938,-63.96875"""
16,216043,Lekr0,"""-728.956787109375,-885.2396850585938,-62.14240264892578""",TaZ g2a.com,"""-135.26393127441406,-677.9349975585938,-106.101806640625"""
16,216295,dennis,"""564.94921875,-1420.567626953125,-15.96875""",Snax g2a.com,"""685.5494384765625,-1211.913818359375,-46.96875"""
16,216794,pashaBiceps g2a.com,"""-761.2352905273438,-892.83447265625,-62.83251953125""",wenton,"""-1028.3863525390625,-977.6400756835938,-121.5262451171875"""
16,218611,neo g2a.com,"""646.5292358398438,-238.74935913085938,46.03125""",twist,"""-816.0237426757812,-702.2291259765625,-31.96875"""
16,218694,wenton,"""-782.5105590820312,-880.6207885742188,-62.65027618408203""",TaZ g2a.com,"""-509.8388977050781,-1065.023193359375,-118.3372802734375"""
16,219811,twist,"""-988.6385498046875,-971.7144165039062,-59.96875""",byali g2a.com,"""363.587158203125,-687.6663208007812,-107.3017578125"""
