Round,Tick,Player,PlayerPosition,Velocity
1,246,byali g2a.com,"""-2185.364501953125,-1429.3643798828125,-7.110313415527344""","""6.713042736053467,235.9697265625,0"""
1,246,wenton,"""-356.55059814453125,1955.538818359375,-171.7344970703125""","""143.52304077148438,-190.021728515625,0"""
1,246,TaZ g2a.com,"""-2166.609619140625,-1298.5682373046875,-3.2203636169433594""","""4.133808612823486,249.96583557128906,0"""
1,246,Snax g2a.com,"""-2496.60302734375,-1248.224365234375,9.469596862792969""","""0,222.62164306640625,0"""
1,247,olofmeister,"""-346.0980529785156,1873.068115234375,-130.49913024902344""","""49.45073318481445,-245.06045532226562,0"""
1,247,twist,"""-399.9708251953125,1933.6484375,-158.4357147216797""","""54.84821319580078,-240.3880615234375,0"""
1,256,pashaBiceps g2a.com,"""-2528.63427734375,-1245.088134765625,15.435327529907227""","""0,180.76434326171875,0"""
1,278,neo g2a.com,"""-2127.140380859375,-1340.3035888671875,-3.666137933731079""","""-44.058387756347656,235.09426879882812,0"""
1,284,dennis,"""-384.86236572265625,1977.453369140625,-178.72518920898438""","""138.65060424804688,-200.30528259277344,0"""
1,284,byali g2a.com,"""-2187.042724609375,-1358.3671875,-3.96875""","""-22.236370086669922,243.98883056640625,0"""
1,284,wenton,"""-311.1625671386719,1900.2052001953125,-144.06771850585938""","""107.9832763671875,-219.0417938232422,0"""
1,284,TaZ g2a.com,"""-2164.60888671875,-1224.377197265625,-0.33054161071777344""","""8.205391883850098,249.86532592773438,0"""
1,284,Snax g2a.com,"""-2496.60302734375,-1182.369384765625,14.100257873535156""","""0,221.3396453857422,0"""
1,285,olofmeister,"""-333.1795654296875,1799.9937744140625,-93.96196746826172""","""35.68136978149414,-247.44058227539062,0"""
1,285,twist,"""-359.0152893066406,1878.469970703125,-133.20001220703125""","""195.86019897460938,-144.94046020507812,0"""
1,313,Lekr0,"""-396.68731689453125,1960.8282470703125,-169.7451934814453""","""128.85264587402344,-179.875,0"""
1,316,neo g2a.com,"""-2129.50244140625,-1268.1820068359375,-2.36041259765625""","""-13.947922706604004,238.43109130859375,0"""
1,322,dennis,"""-351.037841796875,1914.0137939453125,-150.97195434570312""","""59.946136474609375,-240.46461486816406,0"""
1,322,byali g2a.com,"""-2193.96240234375,-1285.99462890625,-2.4591217041015625""","""-0.23481760919094086,244.99989318847656,0"""
1,322,wenton,"""-284.3957824707031,1832.2652587890625,-110.09771728515625""","""130.65403747558594,-206.34014892578125,0"""
1,322,TaZ g2a.com,"""-2161.904296875,-1150.2080078125,2.5185718536376953""","""9.985273361206055,249.80050659179688,0"""
1,322,Snax g2a.com,"""-2502.845947265625,-1117.15625,13.4591646194458""","""-82.15947723388672,214.4856414794922,0"""
1,323,olofmeister,"""-324.0724792480469,1726.339111328125,-57.13460922241211""","""27.94453239440918,-248.4333038330078,0"""
1,323,twist,"""-333.10308837890625,1829.64111328125,-108.78560638427734""","""-56.186424255371094,-195.53062438964844,0"""
1,329,pashaBiceps g2a.com,"""-2514.239501953125,-1174.666748046875,16.311466217041016""","""146.6854248046875,8.322793960571289,0"""
1,350,Lekr0,"""-357.4961853027344,1902.9200439453125,-145.42514038085938""","""137.71212768554688,-208.65130615234375,0"""
1,354,neo g2a.com,"""-2138.598876953125,-1200.230224609375,0.3613929748535156""","""40.51432418823242,225.667724609375,0"""
1,360,dennis,"""-340.6622619628906,1840.62939453125,-114.27976989746094""","""20.94430160522461,-249.1211395263672,0"""
1,360,byali g2a.com,"""-2179.80322265625,-1214.9273681640625,0.18899917602539062""","""74.02572631835938,233.5491180419922,0"""
1,360,wenton,"""-257.4376525878906,1764.8695068359375,-76.39981079101562""","""48.990970611572266,-245.1527862548828,0"""
1,360,TaZ g2a.com,"""-2157.317626953125,-1076.634521484375,2.9386327266693115""","""56.93809509277344,231.91372680664062,0"""
1,360,Snax g2a.com,"""-2539.613037109375,-1054.96826171875,15.955612182617188""","""-144.58213806152344,203.9509735107422,0"""
1,361,olofmeister,"""-323.26214599609375,1654.0230712890625,-20.97661018371582""","""-23.791372299194336,-241.2842559814453,0"""
1,373,twist,"""-337.4330139160156,1738.3653564453125,-63.147727966308594""","""16.603103637695312,-249.44805908203125,0"""
1,379,pashaBiceps g2a.com,"""-2438.290771484375,-1144.6536865234375,7.352164268493652""","""224.38827514648438,103.29023742675781,0"""
1,388,Lekr0,"""-321.93377685546875,1837.9815673828125,-112.95585632324219""","""89.16826629638672,-233.55731201171875,0"""
1,392,neo g2a.com,"""-2112.378662109375,-1134.3890380859375,0.594832181930542""","""127.41081237792969,199.72219848632812,0"""
1,398,dennis,"""-335.88330078125,1766.5673828125,-77.248779296875""","""13.382970809936523,-249.64154052734375,0"""
1,398,byali g2a.com,"""-2146.707763671875,-1153.41845703125,1.7938809394836426""","""174.72149658203125,157.80076599121094,0"""
1,398,wenton,"""-248.16676330566406,1691.267333984375,-39.598724365234375""","""21.521177291870117,-249.07196044921875,0"""
1,398,TaZ g2a.com,"""-2132.771728515625,-1009.7604370117188,1.3851344585418701""","""63.24681854248047,237.10765075683594,0"""
1,398,Snax g2a.com,"""-2585.509033203125,-996.6739501953125,16.822128295898438""","""-161.80645751953125,190.5745849609375,0"""
1,399,olofmeister,"""-322.6398010253906,1580.1995849609375,0.03125""","""16.379409790039062,-249.4628448486328,0"""
1,411,twist,"""-330.45452880859375,1664.4794921875,-26.204835891723633""","""25.403249740600586,-248.7060089111328,0"""
1,417,pashaBiceps g2a.com,"""-2370.900146484375,-1113.658447265625,4.03125""","""229.2251739501953,99.77887725830078,0"""
1,426,Lekr0,"""-302.5943298339844,1766.398193359375,-77.1641616821289""","""51.822086334228516,-244.56996154785156,0"""
1,430,neo g2a.com,"""-2062.25439453125,-1087.263916015625,0.03125""","""162.26075744628906,180.13720703125,0"""
1,436,dennis,"""-332.2043151855469,1692.4398193359375,-40.184967041015625""","""11.833464622497559,-249.7197723388672,0"""
1,436,wenton,"""-242.7888641357422,1617.2447509765625,-2.5874691009521484""","""16.199493408203125,-249.47459411621094,0"""
1,436,TaZ g2a.com,"""-2110.66748046875,-940.6149291992188,0.03125""","""38.54081726074219,247.0113525390625,0"""
1,436,Snax g2a.com,"""-2634.98876953125,-941.3666381835938,19.737136840820312""","""-170.8166046142578,182.54229736328125,0"""
1,437,olofmeister,"""-316.4562072753906,1506.240478515625,0.03125""","""21.951770782470703,-249.03436279296875,0"""
1,439,byali g2a.com,"""-2093.3115234375,-1109.7432861328125,0.1634587049484253""","""26.427494049072266,159.15097045898438,0"""
1,449,twist,"""-324.0718994140625,1590.5380859375,0.03125""","""19.97512435913086,-249.20071411132812,0"""
1,455,pashaBiceps g2a.com,"""-2301.6240234375,-1087.0733642578125,4.03125""","""235.78897094726562,83.0876693725586,0"""
1,464,Lekr0,"""-288.5870056152344,1693.515625,-40.722900390625""","""44.578834533691406,-245.9933624267578,0"""
1,468,neo g2a.com,"""-2007.411865234375,-1042.5675048828125,0.03125""","""173.3084259033203,170.65489196777344,0"""
1,474,dennis,"""-328.74603271484375,1618.3011474609375,-3.1156349182128906""","""11.601937294006348,-249.7306365966797,0"""
1,474,wenton,"""-238.1876678466797,1543.168701171875,0.03125""","""15.103558540344238,-249.54335021972656,0"""
1,474,TaZ g2a.com,"""-2108.949462890625,-866.6405029296875,-10.94045352935791""","""-21.228145599365234,248.6038055419922,0"""
